[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=5.77546237584, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.77546677418, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=5.77546897335, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.77547043947, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=5.77547263864, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=5.77547410475, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=5.77547557087, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=5.77547777004, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.7754785031, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=6.28720961771, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=6.28721401605, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=6.28721621523, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=6.28721768134, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=6.28721914745, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=6.28722134663, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=6.28722281274, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=6.28722427885, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=6.28722647803, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=6.81889894806, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=6.81890334641, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=6.81890554558, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=6.81890701169, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=6.81890921086, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=6.81891067698, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=6.81891214309, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=6.81891434226, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=6.81891507532, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=7.35234688267, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=7.35235201407, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=7.35235348019, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=7.35235567936, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=7.35235714548, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=7.35235934465, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=7.35236081076, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=7.35236227688, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=7.35236374299, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=7.87592273577, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=7.87592713411, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=7.87592933328, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=7.8759307994, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=7.87593226551, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=7.87593373163, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=7.8759359308, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=7.87593739691, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=7.87593886303, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=8.37586262508, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=8.37586702342, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=8.37586922259, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=8.37587142176, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=8.37587288788, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=8.37587435399, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=8.37587582011, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=8.37587801928, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=8.37587948539, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=8.89497415973, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=8.89497782502, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=8.89498002419, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=8.89498149031, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=8.89498368948, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=8.89498515559, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=8.89498662171, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=8.89498882088, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=8.89499028699, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=9.39558186416, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=9.39558626251, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=9.39558846168, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=9.39558992779, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=9.39559139391, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=9.39559359308, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=9.39559505919, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=9.39559652531, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=9.39559799142, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=9.94145951692, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=9.94146391526, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=9.94146611443, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=9.94146758054, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=9.94146977972, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=9.94147124583, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=9.94147271195, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=9.94147417806, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=9.94147637723, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=10.4658483305, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=10.4658527288, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=10.465854928, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=10.4658563941, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=10.4658585933, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=10.4658607924, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=10.4658622585, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=10.4658637247, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=10.4658651908, security=WPA2 - 个人, quality=52)]
